"Copy/paste formula when using images or Type text for normal text.
Change 400 to ie 500 with make the picture and card bigger.
Video =G_",description for this sheet only,"add image HTML here (ending in jpg, png, gif, jpeg)",Youtube embedded video code (string after = ),start time (seconds),stop time (seconds),video link output,don't change for video,autoplay,Must add for video,,,don't change for images,Must add for images,
"<img class="qimages" src=""assets/4th-u8/gym.jpg"">",gym,4th-u8/gym.jpg,xWFeaM83vak,199,207,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/xWFeaM83vak?autoplay=0&start=199&end=207""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/chuubu/teachers-office.jpg"">",teachers' office,4th-u8/chuubu/teachers-office.jpg,yQ4fTl4wbko,256,265,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/yQ4fTl4wbko?autoplay=0&start=256&end=265""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/principal-office.jpg"">",school principal's office,4th-u8/principal-office.jpg,cRbOfd_hrnI,30,40,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/cRbOfd_hrnI?autoplay=0&start=30&end=40""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/nurse-office.png"">",school nurse's office,4th-u8/nurse-office.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/3rd-floor.png"">",third floor,4th-u8/3rd-floor.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/2nd-floor.png"">",second floor,4th-u8/2nd-floor.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/1st-floor.png"">",first floor,4th-u8/1st-floor.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/school-kitchen.jpg"">",kitchen,4th-u8/school-kitchen.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/cooking-cr.jpg"">",cooking classroom,4th-u8/cooking-cr.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/cafeteria.jpg"">",cafeteria,4th-u8/cafeteria.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/toilet.png"">",restroom,4th-u8/toilet.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/computer-cr.png"">",computer classroom,4th-u8/computer-cr.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/science-room.jpg"">",science classroom,4th-u8/science-room.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/arts and craft.png"">",art and crafts classroom,4th-u8/arts and crafts.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/chuubu/music-rm.jpg"">",music classroom,4th-u8/chuubu/music-rm.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/classroom.jpg"">",classroom,4th-u8/classroom.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/garden.jpg"">",garden,4th-u8/garden.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/chuubu/entrance.jpg"">",entrance,4th-u8/chuubu/entrance.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/chuubu/Library.jpg"">",library,4th-u8/chuubu/Library.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/school.png"">",school,4th-u8/school.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
